Pan troglodytes troglodytes
Pan troglodytes verus
Oligoryzomys andinus
Oligoryzomys chacoensis
Oligoryzomys nigripes
Oligoryzomys vegetus
Oligoryzomys sp.
Oryzomys palustris
Cerradomys subflavus
Microryzomys minutus
Neacomys sp.
Prionailurus bengalensis
Prionailurus iriomotensis
Suricata suricatta
Balaenopteridae gen. sp.
Cephalorhynchus hectori
Damaliscus pygargus dorcas
Damaliscus pygargus phillipsi
Naemorhedus caudatus
Ovis canadensis
Ovibos moschatus
Ovibos moschatus moschatus
Hemitragus jemlahicus
Budorcas taxicolor
Budorcas taxicolor bedfordi
Budorcas taxicolor taxicolor
Hippotragus leucophaeus
Hippotragus equinus
Hippotragus equinus cottoni
Hippotragus equinus langheldi
Hippotragus niger
Arctocephalus gazella
Arctocephalus pusillus
Arctocephalus pusillus pusillus
Arctocephalus pusillus doriferus
Arctocephalus tropicalis
Aotus nancymaae
Cebus kaapori
Cebus olivaceus
Erinaceus concolor
Tupaia belangeri
Mammuthus primigenius
Meriones shawi
Acomys wilsoni
Malacothrix typica
Osgoodomys banderanus
Cratogeomys castanops
Perognathus flavus
Syncerus caffer caffer
Syncerus caffer nanus
Cavia aperea
Cratogeomys bursarius
Cervus nippon taiouanus
Bradypus variegatus infuscatus
Saguinus bicolor
Saguinus bicolor bicolor
Urocitellus richardsonii
Caenolestes fuliginosus
Isoodon macrourus
Notoryctes typhlops
Pseudochirops cupreus
Murexia longicaudata
Perameles gunnii
Gazella dorcas
Cratogeomys goldmani rubellus
unclassified Cebidae
Globicephala macrorhynchus
Perognathus amplus
Perognathus inornatus
Aepyprymnus rufescens
Burramys parvus
Cercartetus caudatus
Dendrolagus inustus
Distoechurus pennatus
Dactylopsila trivirgata
Gymnobelideus leadbeateri
Lutreolina crassicaudata
Pseudochirops archeri
Phalanger carmelitae
Phascolarctos cinereus
Microperoryctes longicauda
Tarsipes rostratus
Chaetodipus hispidus
Chaetodipus intermedius
Onychomys leucogaster
Perognathus longimembris
Perognathus merriami
Perognathus parvus
Chaetodipus penicillatus
Chaetodipus pernix
Onychomys torridus
Perognathus flavescens
Perognathus fasciatus
Chaetodipus formosus
Onychomys arenicola
Antechinus flavipes
Phascogale calura
Geomys bursarius halli
Geomys personatus megapotamus
Apodemus agrarius
Mammut americanum
Muscardinus avellanarius
Ellobius fuscocapillus
Ellobius lutescens
Phoca fasciata
Phoca groenlandica
Phoca largha
Ursus spelaeus
Murinae gen. sp.
Cystophora cristata
Erignathus barbatus
Odocoileus sp.
Oryx leucoryx
Macropus giganteus giganteus
Saimiri boliviensis boliviensis
Mus musculus musculus
Gerbillus nigeriae
Propithecus sp.
Urva edwardsii
Monodon monoceros
Artibeus cinereus
Artibeus concolor
Artibeus glaucus
Artibeus glaucus gnomus
Artibeus obscurus
Artibeus phaeotis
Artibeus planirostris
Carollia perspicillata
Artibeus aztecus
Artibeus toltecus
Eulemur fulvus fulvus
Macaca tonkeana
Cynictis penicillata
Dipodillus campestris
Glis glis
Gerbilliscus gambianus
Hylomyscus stella
Mastomys erythroleucus
Mus crociduroides
Mus mattheyi
Uranomys ruddi
Phacochoerus africanus
Babyrousa babyrussa
Sus barbatus
Petrogale assimilis
Pronolagus crassicaudatus
Pronolagus randensis
Pronolagus rupestris
Phocoena sinus
Dobsonia moluccensis
Spalax zemni
Galegeeska rufescens
Dasyprocta leporina
Sorex araneus
Dendrohyrax dorsalis
Ochotona rufescens
Neotoma albigula
Neotoma floridana
Peromyscus eremicus
Peromyscus gossypinus
Peromyscus melanotis
Peromyscus polionotus
Sigmodon hispidus
Sigmodon mascotensis
Phalanger orientalis
Peromyscus californicus
Caluromys lanatus
Glironia venusta
Didelphis albiventris
Marmosa rubra
Marmosa demerarae
Marmosa regina
Marmosops impavidus
Marmosops impavidus albiventris
Metachirus nudicaudatus
Monodelphis adusta
Philander canus
Philander mcilhennyi
Lestoros inca
Echymipera kalubu
Trinomys paratus
Trinomys eliasi
Trinomys dimidiatus
Trinomys iheringi
Trinomys sp. PEU-880027
Trinomys sp. MN-31459
Proechimys simonsi
Aotus lemurinus
Ictidomys tridecemlineatus
Myoprocta pratti
Coendou bicolor
Ctenomys sociabilis
Trinomys setosus
Euryzygomatomys spinosus
Thrichomys apereoides
Rucervus duvaucelii
Cervus canadensis manitobensis
Cervus elaphus elaphus
Elaphurus davidianus
Mazama americana
Bison bison bison
Bison bison athabascae
Pithecia pithecia
Saguinus geoffroyi
Nasalis larvatus
Reithrodontomys megalotis
Peromyscus maniculatus oreas
Peromyscus maniculatus interdictus
Peromyscus maniculatus austerus
